"file","source_url","bytes","sha256","valid_pdf","recovery"
"Title18-T18CH11.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH11.pdf","31448","6973ef819eac6aa92c220cd33336816a65f4f2a280a5035cd302486487d82c22","True",""
"Title18-T18CH13.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH13.pdf","77135","aecd9c1a2b4058e413447f4c78a65d0de3041c48db280f2681dcf8239f435692","True",""
"Title18-T18CH14.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH14.pdf","36125","032b32f4027081d875f7dd00bc0dc4d02d91f47e851fbefe794772919e07fcf6","True",""
"Title18-T18CH15.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH15.pdf","210272","c7601d814366e7a1a3dcbe0ccd1ecb4548aacf2974cda78178dcec07573b05ed","True",""
"Title18-T18CH16.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH16.pdf","30627","9a28e4a2d83373dbdcb643332ff079e3ba7db08bfd57623bbc72bf14151913df","True",""
"Title18-T18CH17.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH17.pdf","30119","7ac912121d8ef97554fc916f798edcba67b15a28d095651cae74e74360e5fb25","True",""
"Title18-T18CH18.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH18.pdf","29863","d79d345020b99dce70e54c348f3fd1708a906bc6364320a808417133d5564d61","True",""
"Title18-T18CH19.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH19.pdf","41829","0b7f2ae52b96599e88ecded1e8b9efde4e67630bfa2ec00871f7bdd42ac7efec","True",""
"Title18-T18CH2.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH2.pdf","90447","bb16b9857ae1725dcf518cfecb54d2ccf909482fb7a60d63d2413cb392b71510","True",""
"Title18-T18CH20.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH20.pdf","32133","e8c50bdc0d4a87254b82f07a1070bc6fbad774e18b839652259b934f5e6284f7","True",""
"Title18-T18CH22.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH22.pdf","33351","4e4e2366ddc8350dceb0e127c316e02fd1c42fad3cae68139bbc0dbdf95f61ae","True",""
"Title18-T18CH23.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH23.pdf","60691","01225b4ce37cb092c33f3e42589adf598f542f67767c3679a1f0bfd2a6bd70b5","True",""
"Title18-T18CH24.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH24.pdf","87728","59b1600fb75d0d3a71f3b5563ec994fd2c6cbf1a863b7896a6910468bc4b4971","True",""
"Title18-T18CH25.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH25.pdf","56545","7c0c305ea386f48484caae36ff29e5d698938b23069c194369c8dfb65bbf17d8","True",""
"Title18-T18CH26.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH26.pdf","36679","de15a0fb8df58276568f9ef03ba4062479e18e7d15b44bd483e14453fe8b0f64","True",""
"Title18-T18CH27.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH27.pdf","36986","420d0f0e94b7913a1697e0f6180243ad2be3dd907dcc0c42e4916bd472f28d44","True",""
"Title18-T18CH29.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH29.pdf","27868","e7a8668a5e4f5561ef393d4158a270e6e4344c2c302297c4726b12111d6f592c","True",""
"Title18-T18CH3.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH3.pdf","63491","f2a7844402cb309484e4c322bf9c8815e44a0046e43943ae3f4c63cdefff3878","True",""
"Title18-T18CH30.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH30.pdf","36211","ddc60eb310881f3fd01e4a8c478b430d88cea5d6c14969dc3d5549c7ef2c32a4","True",""
"Title18-T18CH31.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH31.pdf","71715","8011c51024d8faf875bb65f6abe6ef7b81746a24cb0e14b2d76846f560a7c6e6","True",""
"Title18-T18CH32.pdf","https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title18/T18CH32.pdf","34385","95241ff497860ed0559053f86b790fe0277190194aeb7888518471076c084c76","True",""
