FIPS_CODE,MUNI_NAME
54012,NEW ALEXANDRIA
54040,NEWARK
54068,NEW ATHENS
54110,NEW BAVARIA
54152,NEW BLOOMINGTON
54166,NEW BOSTON
54194,NEW BREMEN
54250,NEWBURGH HEIGHTS
54334,NEW CARLISLE
54432,NEWCOMERSTOWN
54446,NEW CONCORD
54562,NEW FRANKLIN
54726,NEW HOLLAND
54838,NEW KNOXVILLE
54852,NEW LEBANON
54866,NEW LEXINGTON
54908,NEW LONDON
54978,NEW MADISON
55104,NEW MIAMI
55118,NEW MIDDLETOWN
55188,NEW PARIS
55216,NEW PHILADELPHIA
55384,NEW RICHMOND
55398,NEW RIEGEL
55426,NEW ROME
55552,NEW STRAITSVILLE
55650,NEWTON FALLS
55664,NEWTONSVILLE
55678,NEWTOWN
55748,NEW VIENNA
55776,NEW WASHINGTON
55790,NEW WATERFORD
55818,NEW WESTON
55874,NEY
55916,NILES
56154,NORTH BALTIMORE
56182,NORTH BEND
56280,NORTHBROOK
56294,NORTH CANTON
56322,NORTH COLLEGE HILL
56420,NORTH FAIRFIELD
56448,NORTHFIELD
56546,NORTH FORK VILLAGE
56553,NORTHGATE
56588,NORTH HAMPTON
56700,NORTH KINGSVILLE
56770,NORTH LEWISBURG
56812,NORTH MADISON
56882,NORTH OLMSTED
56910,NORTH PERRY
56924,NORTH RANDALL
56938,NORTHRIDGE
56952,NORTHRIDGE
56966,NORTH RIDGEVILLE
56994,NORTH ROBINSON
57008,NORTH ROYALTON
57064,NORTH STAR
57190,NORTHWOOD
57218,NORTH ZANESVILLE
57260,NORTON
57302,NORWALK
57372,NORWICH
57386,NORWOOD
57582,OAK HARBOR
57596,OAK HILL
57750,OAKWOOD (CUYAHOGA)
57764,OAKWOOD (MONTGOMERY)
57792,OAKWOOD (PAULDING)
57834,OBERLIN
57862,OBETZ
57918,OCTA
58002,OHIO CITY
58149,OLDE WEST CHESTER
58226,OLD WASHINGTON
58422,OLMSTED FALLS
58520,ONTARIO
58604,ORANGE
58674,ORANGEVILLE
58730,OREGON
58800,ORIENT
58828,ORRVILLE
58856,ORWELL
58912,OSGOOD
58940,OSTRANDER
58982,OTTAWA
59010,OTTAWA HILLS
59052,OTTOVILLE
59066,OTWAY
59220,OWENSVILLE
59234,OXFORD
59416,PAINESVILLE
59598,PALESTINE
59738,PANDORA
59920,PARK LAYNE
61000,PARMA
61028,PARMA HEIGHTS
61056,PARRAL
61112,PATASKALA
61182,PATTERSON
61252,PAULDING
61322,PAYNE
61420,PEEBLES
61504,PEMBERVILLE
61574,PENINSULA
61686,PEPPER PIKE
61882,PERRY
62134,PERRY HEIGHTS
62148,PERRYSBURG
62190,PERRYSVILLE
62414,PHILLIPSBURG
62442,PHILO
62498,PICKERINGTON
62578,PIGEON CREEK
62708,PIKETON
62834,PIONEER
62848,PIQUA
62890,PITSBURG
63030,PLAIN CITY
63044,PLAINFIELD
63436,PLEASANT CITY
63478,PLEASANT GROVE
63534,PLEASANT HILL
63576,PLEASANT PLAIN
63604,PLEASANT RUN
63618,PLEASANT RUN FARM
63716,PLEASANTVILLE
63800,PLYMOUTH
63954,POLAND
63996,POLK
64024,POMEROY
64108,PORTAGE
64136,PORTAGE LAKES
64150,PORT CLINTON
64262,PORT JEFFERSON
64304,PORTSMOUTH
64346,PORT WASHINGTON
64360,PORT WILLIAM
64430,POTSDAM
64486,POWELL
64542,POWHATAN POINT
64766,PROCTORVILLE
64780,PROSPECT
65032,PUT-IN-BAY
65116,QUAKER CITY
65200,QUINCY
65256,RACINE
65508,RARDEN
65592,RAVENNA
65634,RAWSON
65662,RAYLAND
65732,READING
66152,REMINDERVILLE
66222,RENDVILLE
66320,REPUBLIC
66390,REYNOLDSBURG
66530,RICHFIELD
66824,RICHMOND
66894,RICHMOND HEIGHTS
66936,RICHWOOD
67118,RIDGEWAY
67258,RIO GRANDE
67272,RIPLEY
67314,RISINGSUN
67356,RITTMAN
67440,RIVERLEA
67468,RIVERSIDE
67600,ROAMING SHORES
67762,ROCHESTER
67846,ROCK CREEK
67874,ROCKFORD
68042,ROCKY RIDGE
68056,ROCKY RIVER
