municipality,plan_type,gasb_2025_fiduciary_net_position_percent,measurement_period_end,source_url,source_file,sha256,bytes,pages
Point Pleasant,Police,89.58,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Point%20Pleasant%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Point Pleasant Police GASB Report 2025.pdf,A2B76FC38F7EC26643F7F810CB1744C53A4D1B00FC50C9B203E27E7847DCF129,352060,13
Princeton,Fire,23.53,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Princeton%20Fire%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Princeton Fire GASB Report 2025.pdf,41AEAF446396A629BD4745A82342F44A6F83303201A1194A8D4CCF3EF42EE231,744577,16
Princeton,Police,46.55,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Princeton%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Princeton Police GASB Report 2025.pdf,841F6CB16EAD80EEA4C8F18C8B154497FE096AC36700EF4F0DA4D663BD7FE807,746890,16
South Charleston,Fire,13.33,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/South%20Charleston%20Fire%20GASB%20Report%202025.pdf,MPOB-GASB-2025/South Charleston Fire GASB Report 2025.pdf,571351BC51D83C6472600D8CBBB87A3364653A969D7E38D2FA97D10A84EECE72,797243,16
South Charleston,Police,15.42,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/South%20Charleston%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/South Charleston Police GASB Report 2025.pdf,FA78AB1EADCF00A99ACA484B8A330E0E3F151D9B8594617896317E616ABE8572,748961,16
St. Albans,Fire,12.40,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Saint%20Albans%20Fire%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Saint Albans Fire GASB Report 2025.pdf,2E6833AB411A44B0478FBB0A5F657F1902F3EA92AA1A12BE271BBE9F59960F75,738241,16
St. Albans,Police,54.06,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Saint%20Albans%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Saint Albans Police GASB Report 2025.pdf,5EDAB8B14F3913128720240886E0D429BF81711D3ED2128AF15AA8C484F8A2D6,737435,16
Star City,Police,113.95,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Star%20City%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Star City Police GASB Report 2025.pdf,F90FD99F0CC8ED45C5BE97B1B98C884DA299B6993DD58DC6B329994F7754DFEA,572128,13
Vienna,Police,85.49,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Vienna%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Vienna Police GASB Report 2025.pdf,66F94210A36DB3B398FE0479997F09383C100856AFE764E009A538E4C1E60946,679588,13
Weirton,Fire,93.77,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Weirton%20Fire%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Weirton Fire GASB Report 2025.pdf,28AB2E366844D9F5404A085288E9A1642DBBAA43023FD591BAE3BD66E861A541,571203,13
Weirton,Police,43.92,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Weirton%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Weirton Police GASB Report 2025.pdf,78E72CBB03426F4C4FF97628BB87DDDF68C52358469288DD4459C0FE28CAE0C9,571636,13
Welch,Police,204.20,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Welch%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Welch Police GASB Report 2025.pdf,2F5A2228FA98C2F566EA7422C8E256AC9386F872C8F287AA98DA6521EB32285D,353152,13
Weston,Fire,84.78,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/2025%20GASB%20Report%20Weston%20Fire.pdf,MPOB-GASB-2025/Weston Fire GASB Report 2025.pdf,BECD057D26316C53A179B69D3D07F683CDBAB1031B91141C8A58D230944F1534,445513,13
Weston,Police,142.88,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/2025%20GASB%20Report%20Weston%20Police.pdf,MPOB-GASB-2025/Weston Police GASB Report 2025.pdf,5BD2F8FA5995E344BF1205989D72F4C87915A31993BB06B31EC649BCBD32330B,445067,13
Westover,Police,111.55,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Westover%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Westover Police GASB Report 2025.pdf,DDEC052962961C0EB65A184DAEB6CD63C33DE4C893FB00016FC7BDFEA8DB6799,443803,13
Wheeling,Fire,102.24,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Wheeling%20Fire%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Wheeling Fire GASB Report 2025.pdf,CF488A8A0C51D61B3A2885D5CD847D292408E36D0D0967F4507DC87935E4963F,444906,13
Wheeling,Police,102.94,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Wheeling%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Wheeling Police GASB Report 2025.pdf,89E1854D27EBB1FF068A65C492CDBAE8C209781F5C03171D18E6C60F74A854DA,357106,13
Williamson,Fire,79.61,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Williamson%20Fire%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Williamson Fire GASB Report 2025.pdf,01785E4B2D181E58FEC77602FBB55470E366CEC5CCD8D172619A2A8450F64A23,352959,13
Williamson,Police,82.84,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Williamson%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Williamson Police GASB Report 2025.pdf,CF9C31ACDF9D5C0F57DDBE5E8B6280F39A4BF5DC674796C8C01FCE057FD6B4D4,352427,13
