"district_id","selector_name","tax_district_name","ordinance","city","county","net_profits_or_gross_receipts","tax_rate_text","minimum_tax","cap","public_notes","ordinance_urls","tax_form_urls","other_document_urls","source_page_url","retrieved_at"
"22","Brownsville","Brownsville","1-08","Brownsville","Edmonson","Net Profits","1%","$20","","","https://web.sos.ky.gov/occupationaltaxes/22-54.pdf","https://web.sos.ky.gov/occupationaltaxes/22-56.pdf","https://web.sos.ky.gov/occupationaltaxes/22-55.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:54Z"
"176","Burkesville","Burkesville","No. 2012-3","Burkesville","Cumberland County","","","","","","https://web.sos.ky.gov/occupationaltaxes/176-565.pdf","https://web.sos.ky.gov/occupationaltaxes/176-566.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:54Z"
"24","Butler County","Butler County","07-10-01","Morgantown","Butler","","","","","","https://web.sos.ky.gov/occupationaltaxes/24-60.pdf","https://web.sos.ky.gov/occupationaltaxes/24-61.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:54Z"
"25","Cadiz","Cadiz","08-01","Cadiz","Trigg","Gross Receipts","1%","$50","$1250","","https://web.sos.ky.gov/occupationaltaxes/25-62.pdf","https://web.sos.ky.gov/occupationaltaxes/25-848.pdf | https://web.sos.ky.gov/occupationaltaxes/25-847.pdf | https://web.sos.ky.gov/occupationaltaxes/25-846.pdf | https://web.sos.ky.gov/occupationaltaxes/25-845.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:54Z"
"49","Caldwell County","Caldwell County","No. 06-24-08","Princeton","Caldwell","","","","","","https://web.sos.ky.gov/occupationaltaxes/49-132.pdf","https://web.sos.ky.gov/occupationaltaxes/49-865.pdf | https://web.sos.ky.gov/occupationaltaxes/49-134.pdf","https://web.sos.ky.gov/occupationaltaxes/49-133.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:55Z"
"27","Calvert City","Calvert City","2007-07","Calvert City","Marshall","Net Profits","0.5%","","$65,000","","https://web.sos.ky.gov/occupationaltaxes/27-72.pdf | https://web.sos.ky.gov/occupationaltaxes/27-71.pdf","https://web.sos.ky.gov/occupationaltaxes/27-650.pdf | https://web.sos.ky.gov/occupationaltaxes/27-70.pdf","https://web.sos.ky.gov/occupationaltaxes/27-866.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:55Z"
"180","Camargo","Camargo","No. 220.00","Camargo","Montgomery","Net Profits/Gross Receipts","2%","$50 license fee","","","https://web.sos.ky.gov/occupationaltaxes/180-1095.pdf | https://web.sos.ky.gov/occupationaltaxes/180-500.pdf","https://web.sos.ky.gov/occupationaltaxes/180-1100.pdf | https://web.sos.ky.gov/occupationaltaxes/180-1099.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:55Z"
"28","Campbell County","Campbell County","Chapter 110","Newport","Campbell","Flat Fee","$75 Flat Fee","$75","$75","","https://web.sos.ky.gov/occupationaltaxes/28-1182.pdf","https://web.sos.ky.gov/occupationaltaxes/28-1308.pdf","https://web.sos.ky.gov/occupationaltaxes/28-1187.pdf | https://web.sos.ky.gov/occupationaltaxes/28-1186.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:55Z"
"32","Campbellsville","Campbellsville","No. 09-03","Campbellsville","Taylor","Net Profits","1%","","","","https://web.sos.ky.gov/occupationaltaxes/32-84.pdf","https://web.sos.ky.gov/occupationaltaxes/32-86.pdf","https://web.sos.ky.gov/occupationaltaxes/32-85.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:55Z"
"187","Carlisle","Carlisle","No. 2007-9","Carlisle","Nicholas","","","","","","https://web.sos.ky.gov/occupationaltaxes/187-518.pdf","https://web.sos.ky.gov/occupationaltaxes/187-519.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:55Z"
"33","Carroll County","Carroll County","No. 07-1113","Carrolton","Carroll","Net Profits","1.5%","","$250,000 maximum annually","","https://web.sos.ky.gov/occupationaltaxes/33-1203.pdf","https://web.sos.ky.gov/occupationaltaxes/33-1227.pdf | https://web.sos.ky.gov/occupationaltaxes/33-1226.pdf | https://web.sos.ky.gov/occupationaltaxes/33-1225.pdf | https://web.sos.ky.gov/occupationaltaxes/33-1224.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:55Z"
"232","Carter County","Carter County","","","Carter","1% Net Profit","","","","","https://web.sos.ky.gov/occupationaltaxes/232-1006.pdf","https://web.sos.ky.gov/occupationaltaxes/232-1007.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:55Z"
"34","Catlettsburg","Catlettsburg","No. 6-2009","Catlettsburg","Boyd","Both","1.5%","1.5%","","","https://web.sos.ky.gov/occupationaltaxes/34-89.pdf","https://web.sos.ky.gov/occupationaltaxes/34-1064.pdf | https://web.sos.ky.gov/occupationaltaxes/34-1063.pdf | https://web.sos.ky.gov/occupationaltaxes/34-1062.pdf","https://web.sos.ky.gov/occupationaltaxes/34-1061.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:56Z"
"181","Cave City","Cave City","Chapter 5.04","Cave City","Barren","Net Profits","1%","$100","","","https://web.sos.ky.gov/occupationaltaxes/181-502.pdf","https://web.sos.ky.gov/occupationaltaxes/181-504.pdf","https://web.sos.ky.gov/occupationaltaxes/181-503.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:56Z"
"241","City of Union","City of Union","","Union","Boone","","","","","","https://web.sos.ky.gov/occupationaltaxes/241-1233.pdf | https://web.sos.ky.gov/occupationaltaxes/241-1232.pdf | https://web.sos.ky.gov/occupationaltaxes/241-1231.pdf","","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:56Z"
"35","Clark County","Clark County","No. 86-2","Winchester","Clark","","","","","","https://web.sos.ky.gov/occupationaltaxes/35-91.pdf","https://web.sos.ky.gov/occupationaltaxes/35-867.pdf | https://web.sos.ky.gov/occupationaltaxes/35-751.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:56Z"
"216","Clarkson","Clarkson","","Clarkson","Grayson","Gross Receipts","1.2%","","","","https://web.sos.ky.gov/occupationaltaxes/216-690.pdf","https://web.sos.ky.gov/occupationaltaxes/216-691.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:56Z"
"177","Clay County","Clay County","No. 2005-001","Manchester","Clay","","","","","","https://web.sos.ky.gov/occupationaltaxes/177-491.pdf","https://web.sos.ky.gov/occupationaltaxes/177-493.pdf","https://web.sos.ky.gov/occupationaltaxes/177-492.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:56Z"
"36","Clinton","Clinton","Chapter 110","Clinton","Hickman","Gross Receipts","0.5%","","$200/per employee","","https://web.sos.ky.gov/occupationaltaxes/36-93.pdf","https://web.sos.ky.gov/occupationaltaxes/36-652.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:56Z"
"37","Clinton County","Clinton County","02-19-2015-OLFTAX","Albany","Clinton","Net Profits/Gross Receipts","1.25%/1.25%","","","","https://web.sos.ky.gov/occupationaltaxes/37-595.pdf","https://web.sos.ky.gov/occupationaltaxes/37-653.pdf | https://web.sos.ky.gov/occupationaltaxes/37-97.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:56Z"
"205","Coal Run Village","Coal Run Village","No. 2015-03","Coal Run Village","Pike","Net Profits","1%","","","","https://web.sos.ky.gov/occupationaltaxes/205-621.pdf","https://web.sos.ky.gov/occupationaltaxes/205-850.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:56Z"
"198","Cold Spring","Cold Spring","Ch. 113","Cold Spring","Campbell","Gross Receipts","Tax Schedule","$25","$1500","","","https://web.sos.ky.gov/occupationaltaxes/198-1302.pdf","https://web.sos.ky.gov/occupationaltaxes/198-1180.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:57Z"
"203","Corbin","Corbin","No. 13-2005","Corbin","Knox","Payroll Only","1% on payroll only","","","","https://web.sos.ky.gov/occupationaltaxes/203-617.pdf","https://web.sos.ky.gov/occupationaltaxes/203-868.pdf | https://web.sos.ky.gov/occupationaltaxes/203-616.pdf","https://web.sos.ky.gov/occupationaltaxes/203-615.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:57Z"
"38","Covington","Covington","Chapter 110","Covington","Kenton","Net Profits","2.5%","$100","$80,000","","https://web.sos.ky.gov/occupationaltaxes/38-98.pdf","https://web.sos.ky.gov/occupationaltaxes/38-1192.pdf | https://web.sos.ky.gov/occupationaltaxes/38-1191.pdf | https://web.sos.ky.gov/occupationaltaxes/38-947.pdf","https://web.sos.ky.gov/occupationaltaxes/38-1190.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:57Z"
