jedd_jedz_id,name,zone_type_from_official_name,tax_category,rate_percent,rate_fraction,effective_start_date,effective_end_date,snapshot_as_of_date,source_url,retrieved_at
9053,MONCLOVA-MAUMEE-TOLEDO JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,1.5,0.015,2014-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9054,PERRYSBURG TOWNSHIP TOLEDO JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,1.5,0.015,1993-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9055,PRAIRIE OBETZ JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2009-10-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9056,SPRINGFIELD TOWNSHIP JEDZ I,JEDZ,JEDD_JEDZ_INCOME_TAX,1.5,0.015,2014-08-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9057,SYCAMORE TOWNSHIP KENWOOD-CENTRAL JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,0.75,0.0075,2013-10-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9058,SYCAMORE TOWNSHIP KENWOOD-EAST JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,0.75,0.0075,2013-10-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9059,SYCAMORE TOWNSHIP KENWOOD-NORTHWEST JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,0.75,0.0075,2013-10-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9060,SYCAMORE TOWNSHIP KENWOOD-SOUTHWEST JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,0.75,0.0075,2013-10-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9061,WARRENSVILLE HEIGHTS JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,2.6,0.026,2009-07-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9062,YOUNGSTOWN GIRARD JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,2.75,0.0275,2003-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9064,LAKE TOWNSHIP-TOLEDO JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.25,0.0225,2009-08-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9065,MONCLOVA-SWANTON-TOLEDO AIRPORT JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.5,0.015,2016-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9067,TROY TOWNSHIP-TOLEDO JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.25,0.0225,2013-08-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9070,BUTLER COUNTY ANNEX,JEDD_JEDZ_UNSPECIFIED,JEDD_JEDZ_INCOME_TAX,2,0.02,2016-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9071,EMERALD PARK,JEDD_JEDZ_UNSPECIFIED,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2017-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9072,GATEWAY,JEDD_JEDZ_UNSPECIFIED,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2017-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9073,IX CENTER,JEDD_JEDZ_UNSPECIFIED,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2017-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9074,SHAKER SQUARE,JEDD_JEDZ_UNSPECIFIED,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2017-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9075,MONCLOVA-WHITEHOUSE JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.5,0.015,2016-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9076,SPENCER-WHITEHOUSE JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,1.5,0.015,2016-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9077,MADISON TOWNSHIP JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2010-06-30,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9078,BARNESVILLE JEDD 1,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2008-12-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9079,BARNESVILLE JEDD 2,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2012-06-18,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9080,MIAMI TOWNSHIP-DAYTON JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.25,0.0225,2026-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9081,BUTLER TOWNSHIP-DAYTON JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.75,0.0175,2007-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9082,HAMILTON FAIRFIELD TOWNSHIP JEDD III,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,2017-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9083,HARPERSFIELD-GENEVA JEDD I,JEDD,JEDD_JEDZ_INCOME_TAX,1.5,0.015,2018-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9084,HARPERSFIELD-GENEVA JEDD II,JEDD,JEDD_JEDZ_INCOME_TAX,1.5,0.015,2018-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9085,SAYBROOK TOWNSHIP-ROUTE 20 JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.8,0.018,2015-05-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9086,CUYAHOGA FALLS-BOSTON TOWNSHIP JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,2006-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9087,COSHOCTON-FRANKLIN JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,2015-07-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9088,COSHOCTON-TUSCARAWAS JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,2015-07-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9089,GREEN TOWNSHIP-HARRISON GREENE JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2014-12-04,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9090,GREEN TOWNSHIP-UDF JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2017-12-15,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9091,GREEN TOWNSHIP-WESTERN RIDGE JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2010-08-27,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9092,HARPERSFIELD-GENEVA JEDD III,JEDD,JEDD_JEDZ_INCOME_TAX,1.5,0.015,2018-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9093,LEBANON-TURTLECREEK JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.5,0.015,2024-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9094,LYTLE FIVE POINTS JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.5,0.015,2006-01-15,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9095,RICHFIELD JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,2005-10-24,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
